#---------------------------------------------------------------------------
# 
# NOTICE: this data set that was exported by the EMIT model coupling framework, use at your own risk 
# 
# Date Exported: 06/15/2016 
# Site Name: Climate Station at Logan River Golf Course 
# Site Code: LR_GC_C 
# Variable Name: Precipitation 
# Variable Code: Precip_Tot_Avg 
# Unit: cm 
# Category: Incremental 
# Type: Hydrology 
# Begin Date: 2014-01-14 10:00:00 
# End Date: 2016-06-14 23:00:00 
# Description: Precipitation measured using a Geonor T-200B rain gage. 
#---------------------------------------------------------------------------
# 
# 
# Date, Value 
06-11-2016 18:15:00, 32.83906 
06-11-2016 18:30:00, 32.84142 
06-11-2016 18:45:00, 32.86269 
06-11-2016 19:00:00, 32.87215 
06-11-2016 19:15:00, 32.87333 
06-11-2016 19:30:00, 32.87333 
06-11-2016 19:45:00, 32.87392 
06-11-2016 20:00:00, 32.87392 
06-11-2016 20:15:00, 32.87392 
06-11-2016 20:30:00, 32.87452 
06-11-2016 20:45:00, 32.8751 
06-11-2016 21:00:00, 32.8751 
06-11-2016 21:15:00, 32.8757 
06-11-2016 21:30:00, 32.8757 
06-11-2016 21:45:00, 32.87629 
06-11-2016 22:00:00, 32.87629 
06-11-2016 22:15:00, 32.87688 
06-11-2016 22:30:00, 32.87747 
06-11-2016 22:45:00, 32.87747 
06-11-2016 23:00:00, 32.87806 
06-11-2016 23:15:00, 32.87806 
06-11-2016 23:30:00, 32.87806 
06-11-2016 23:45:00, 32.87865 
06-12-2016 00:00:00, 32.87865 
06-12-2016 00:15:00, 32.87924 
06-12-2016 00:30:00, 32.87924 
06-12-2016 00:45:00, 32.87865 
06-12-2016 01:00:00, 32.87983 
06-12-2016 01:15:00, 32.87924 
06-12-2016 01:30:00, 32.87983 
06-12-2016 01:45:00, 32.87924 
06-12-2016 02:00:00, 32.87924 
06-12-2016 02:15:00, 32.88042 
06-12-2016 02:30:00, 32.88042 
06-12-2016 02:45:00, 32.88042 
06-12-2016 03:00:00, 32.88102 
06-12-2016 03:15:00, 32.88042 
06-12-2016 03:30:00, 32.88102 
06-12-2016 03:45:00, 32.8822 
06-12-2016 04:00:00, 32.8822 
06-12-2016 04:15:00, 32.8822 
06-12-2016 04:30:00, 32.88279 
06-12-2016 04:45:00, 32.88338 
06-12-2016 05:00:00, 32.88397 
06-12-2016 05:15:00, 32.88456 
06-12-2016 05:30:00, 32.88456 
06-12-2016 05:45:00, 32.90171 
06-12-2016 06:00:00, 32.91117 
06-12-2016 06:15:00, 32.91413 
06-12-2016 06:30:00, 32.9165 
06-12-2016 06:45:00, 32.91709 
06-12-2016 07:00:00, 32.91768 
06-12-2016 07:15:00, 32.91768 
